id;name;city
1;Авангард;Курск
2;Акрон;Тольятти
3;Зенит;Санкт-Петербург
7;Салют;Белгород
9;Динамо;Ставрополь
11;СКА;Хабаровск
14;Сокол;Саратов
15;Спартак;Кострома
